Nombre,Precio,Var %
BNG,19100.0,-0.65
BP,7050.0,-0.28
BPD,6.25,9.45
BRFS,12150.0,-2.6
BRKB,26625.0,-1.2
BRKBC,24.0,0.0
BRKBD,23.4,-1.47
BSBR,6280.0,0.0
C,29000.0,-0.42
C.D,25.65,0.0
CAAP,101000.0,0.09
CAAPD,67.0,0.0
CAH,57350.0,0.0
CAHD,53.3,0.0
CAR,4710.0,-0.31
CAT,20250.0,-0.97
CATD,17.7,-1.11
CCL,8880.0,2.42
CCLD,7.63,0.0
CDE,8580.0,-2.61
CL,33800.0,-0.58
CLD,31.0,0.0
COIN,11250.0,2.04
COIND,9.89,1.85
COST,24000.0,-0.31
COSTD,21.15,1.19
CRM,18850.0,1.34
CRMD,16.4,1.23
CSCO,14200.0,-0.52
CSCOD,12.7,0.79
CVS,4670.0,-0.63
CVSD,3.97,-3.17
CVX,10225.0,-0.96
CVXD,9.08,0.22
CX,7900.0,0.5
DAL,7500.0,-2.34
DALD,9.17,0.0
DD,16000.0,-1.68
DE,14450.0,0.17
DED,12.65,0.39
DEO,21775.0,0.23
DESP,22475.0,0.0
DESPD,19.65,-0.5
DHR,4090.0,-2.5
DIA,24400.0,0.0
DIAC,20.0,0.0
DIAD,21.4,-1.83
DISN,10750.0,0.46
DISND,9.44,0.42
DOCU,4775.0,0.1
DOCUD,4.03,0.0
DOW,5880.0,-1.01
DOWD,5.1,-2.48
E,8740.0,0.0
EA,12200.0,-1.01
EAD,11.1,0.0
EBAY,40100.0,0.25
EBAYD,34.6,0.0
EBR,35350.0,-1.04
EEM,10775.0,0.7
EEMC,9.5,0.0
EEMD,9.43,0.31
EFX,19775.0,0.0
EFXD,13.4,0.0
ELP,29975.0,0.0
EQNR,4820.0,0.0
ERIC,4830.0,-0.51
ERJ,57650.0,0.87
ERJD,48.4,-4.91
ETHA,4535.0,-4.22
ETHAD,4.0,-5.33
ETSY,3430.0,1.47
ETSYD,2.95,-1.5
EWZ,16425.0,-0.15
EWZC,14.2,0.0
EWZD,14.4,-0.34
F,12350.0,1.22
FCX,15100.0,-0.82
FCXD,13.6,0.0
FD,10.85,0.93
FDX,26650.0,-0.37
FDXD,24.1,0.0
FMX,19600.0,1.29
FMXD,16.4,0.0
FSLR,12500.0,1.01
FXI,8410.0,1.2
FXID,7.35,-0.13
GE,32075.0,0.07
GEC,13.6,0.0
GED,28.25,1.25
GFI,23100.0,-0.53
GGB,12900.0,0.0
GILD,28800.0,-2.12
GILDC,15.5,0.0
GILDD,27.0,0.0
GLD,6760.0,-2.31
GLDD,5.9,-2.47
GLOB,8610.0,-5.38
GLOBD,7.63,-4.86
GLW,13600.0,-1.8
GM,9680.0,-0.3
GMD,8.7,0.0
GOGLD,2.92,3.55
GOOGL,3325.0,4.39
GPRK,8240.0,0.36
GPRKD,7.24,0.55
GRMN,77450.0,-0.19
GS,54200.0,0.64
GSD,47.35,0.0
GSK,10550.0,0.23
GSKC,9.84,0.0
GSKD,9.28,-1.48
GT,6570.0,3.3
HAL,12375.0,0.0
HALD,10.9,2.34
HAPV3,537.0,-2.36
HD,13600.0,0.55
HDB,41525.0,-1.01
HL,5460.0,-4.54
HMC,34100.0,-0.43
HMY,16350.0,-1.65
HMYD,14.15,-2.74
HOG,9680.0,-0.1
HON,31400.0,-0.39
HPQ,33325.0,0.07
HSBC,33750.0,0.0
HSY,8890.0,-1.22
HUT,95100.0,-0.15
HUTD,83.2,-1.53
HWM,185200.0,0.48
HWMD,126.0,0.0
IBIT,6820.0,-1.01
IBITD,5.98,-1.64
IBM,19775.0,-0.87
IBMD,17.3,-1.14
IFF,7350.0,0.0
INFY,21425.0,0.58
ING,7990.0,0.0
INTC,5010.0,-3.46
INTCD,4.39,-4.67
IP,12875.0,0.0
ISRG,6860.0,-2.55
ITUB,7650.0,-0.13
ITUBD,6.74,0.59
IWM,24025.0,-0.62
IWMD,21.15,0.0
JCI,48675.0,0.0
JD,10350.0,-4.16
JDD,9.18,-7.55
JMIA,3895.0,-1.39
JMIAD,3.45,-0.57
JNJ,11300.0,-1.31
JNJC,33.0,0.0
JNJD,9.91,-1.88
JOYY,9850.0,0.0
JOYYD,6.48,0.0
JPM,20425.0,0.86
JPMD,17.85,0.0
KEP,10650.0,0.0
KGC,15400.0,-3.59
KMB,25750.0,-0.19
KMBC,20.75,0.0
KO,15975.0,0.0
KOC,14.05,0.0
KOD,14.05,0.71
KOFM,52550.0,-1.4
LAC,3550.0,0.28
LACD,3.13,1.62
LAR,2305.0,-4.75
LARD,2.1,-1.86
LLY,14950.0,-3.23
LLYD,13.55,-1.81
LMT,26625.0,-0.09
LMTD,23.1,-1.07
LND,4250.0,-1.16
LRCX,1740.0,-0.57
LRCXD,1.55,1.63
LREN3,3455.0,-3.35
LVS,24425.0,-0.3
LYG,2275.0,1.56
MA,20075.0,-0.61
MAC,11.15,0.0
MAD,17.7,-0.84
MCD,14775.0,-0.67
MCDD,13.05,-0.76
MDLZ,4910.0,-0.6
MDLZD,4.34,0.93
MDT,24450.0,-1.21
MELI,24550.0,1.34
MELIC,21.8,0.0
MELID,21.45,1.41
META,31725.0,0.07
METAC,26.0,0.0
METAD,27.7,0.36
MFG,6060.0,1.5
MGLU3,1940.0,4.58
MMC,16150.0,0.0
MMM,17100.0,-2.14
MMMD,15.25,2.69
MO,16250.0,-0.91
MOD,14.35,-0.34
MOS,7760.0,-2.14
MOSD,6.53,0.0
MRK,17350.0,-2.39
MRKD,15.3,-2.23
MRNA,1480.0,-4.51
MRNAD,1.31,-4.04
MRVL,5440.0,0.36
MRVLD,4.9,0.0
MSFT,17400.0,0.57
MSFTC,15.3,0.0
MSFTD,15.3,1.32
MSI,24100.0,1.15
MSTR,24175.0,-0.92
MSTRD,21.2,-0.46
MU,22250.0,-0.78
MUD,19.55,-0.76
MUFG,15250.0,1.66
MUX,4000.0,-3.84
MUXD,3.76,4.73
NEM,18700.0,-2.85
NEMD,19.5,0.0
NFLX,27700.0,1.0
NFLXD,24.1,-0.41
NG,16075.0,-1.53
NGG,39125.0,0.25
NIO,1210.0,1.68
NIOD,1.06,0.47
NKE,6060.0,0.66
NKED,5.28,-1.85
NOKA,5930.0,-1.16
NTES,8800.0,-0.33
NU,7770.0,1.83
NUD,6.85,1.63
NUE,8510.0,-1.5
NVDA,6490.0,3.67
NVDAD,5.7,4.58
NVS,30775.0,-0.4
NVSD,27.6,5.34
NXE,6410.0,-4.61
ORCL,62550.0,-0.47
ORLY,6910.0,0.0
OXY,10125.0,-1.45
OXYD,8.86,-2.31
PAAS,8700.0,-2.02
PAASD,7.65,-1.54
PAC,15750.0,0.0
PAGS,3740.0,-1.31
PAGSD,3.29,-1.64
PANW,4395.0,-0.9
PANWD,3.85,-1.28
PBI,11025.0,0.0
PBR,14075.0,-0.88
PBRD,12.4,-1.19
PCAR,36575.0,-1.47
PEP,8270.0,-1.43
PEPC,7.6,0.0
PEPD,7.29,-1.48
PFE,6440.0,-3.01
PFED,5.66,-3.08
PG,12250.0,-0.2
PGD,11.0,1.38
PHG,5570.0,-0.17
PINS,5490.0,0.73
PINSD,4.6,0.0
PKS,17450.0,-2.1
PLTR,49600.0,-0.1
PLTRD,43.95,1.73
PM,10600.0,0.0
PMD,7.7,0.0
PRIO3,4015.0,-2.43
PSX,24225.0,-0.2
PSXD,19.25,0.0
PYPL,10500.0,0.23
PYPLD,9.18,0.21
QCOM,16100.0,0.78
QCOMC,14.25,0.0
QCOMD,14.0,-0.35
QQQ,30000.0,0.41
QQQC,25.8,0.0
QQQD,26.3,-0.75
RACE,6820.0,0.58
RACED,6.04,-0.16
RBLX,45500.0,2.24
RBLXD,41.75,15.01
RENT3,4290.0,0.0
RIO,8960.0,-0.66
RIOD,7.98,0.12
RIOT,3485.0,-0.14
RIOTD,3.05,0.66
ROKU,6320.0,0.95
ROKUD,4.9,0.0
ROST,43175.0,0.0
RTX,30250.0,-0.16
SAN,35650.0,2.0
SAP,55650.0,-0.35
SATL,4840.0,-0.2
SATLD,4.28,4.14
SBS,46525.0,0.0
SBUX,8440.0,0.47
SBUXD,7.32,-1.61
SCCO,53750.0,-0.46
SDA,1860.0,-2.61
SE,5680.0,2.52
SED,5.02,-0.39
SH,6070.0,0.0
SHD,5.3,-0.56
SHEL,38975.0,-0.44
SHOP,1195.0,3.46
SHOPC,14.15,0.0
SHOPD,1.05,0.47
SID,15875.0,4.09
SLB,14000.0,0.0
SLBD,12.2,0.0
SNA,62700.0,-0.79
SNAP,10600.0,1.43
SNOW,7050.0,1.29
SNOWC,9.9,0.0
SNOWD,6.19,0.0
SONY,3595.0,0.84
SPCE,7950.0,10.41
SPGI,13225.0,-0.75
SPGID,11.75,0.0
SPOT,26325.0,2.93
SPOTD,22.95,1.32
SPY,34025.0,-0.07
SPYC,29.0,0.0
SPYD,29.75,-0.33
STLA,2515.0,0.0
STLAD,2.21,0.45
STNE,5520.0,3.75
SUZ,11025.0,0.22
SWKS,3845.0,0.52
SYY,10275.0,0.73
T,10150.0,-0.24
TCOM,38475.0,0.0
TD,8.95,-0.55
TEFO,691.0,-2.26
TEN,40400.0,0.18
TEND,35.15,-0.42
TGT,4650.0,-1.92
TIMB,20625.0,2.86
TJX,7060.0,0.0
TM,14425.0,-3.35
TMD,12.65,-2.69
TMO,21875.0,-3.42
TMUS,8220.0,-13.01
TMUSD,7.35,0.0
TRIP,9180.0,0.43
TRVV,51550.0,0.0
TSLA,26800.0,4.07
TSLAC,21.05,0.0
TSLAD,23.45,4.68
TSM,25125.0,0.6
TSMD,22.0,0.91
TTE,22850.0,-0.86
TV,729.0,3.84
TVD,0.58,0.0
TWLO,3680.0,0.27
TWLOD,3.34,0.0
TXN,43100.0,-1.03
TXND,36.15,0.0
TXR,8280.0,-0.83
TXRD,7.4,0.27
UAL,19075.0,-0.39
UALD,16.95,1.49
UBER,52450.0,-1.22
UBERD,46.1,-0.86
UGP,3600.0,0.41
UL,23400.0,0.0
UNH,10975.0,0.22
UNHC,15.4,0.0
UNHD,9.83,1.86
UNP,13050.0,-0.94
UNPD,10.7,0.0
UPST,12225.0,-1.41
UPSTD,11.05,0.0
URBN,34250.0,-0.29
USB,10275.0,0.24
V,22925.0,0.0
VALE,5680.0,-0.52
VALED,4.99,-0.39
VD,20.1,0.0
VIST,19650.0,-0.75
VISTD,17.25,-0.86
VIV,11725.0,0.0
VOD,10475.0,-0.47
VRSN,53350.0,0.09
VZ,12300.0,-0.6
VZD,10.8,-0.46
WBA,4305.0,-1.48
WBAD,3.82,0.0
WBO,1690.0,1.19
WFC,17600.0,0.28
WFCC,7.5,0.0
WFCD,15.5,0.0
WMT,6210.0,0.97
WMTD,5.45,0.73
X,16250.0,0.93
XD,14.15,0.0
XLE,49325.0,-0.8
XLED,43.35,-1.02
XLF,29525.0,0.0
XLFD,25.9,-0.38
XOM,12575.0,-1.17
XOMD,11.05,-0.89
XP,5490.0,2.61
XPD,4.31,0.0
XROX,6550.0,-5.48
XYZ,3385.0,0.59
XYZC,13.25,0.0
XYZD,2.99,0.0
YELP,23625.0,0.74
ZM,2035.0,0.0
ZMC,6.15,0.0
ZMD,1.8,1.69
